"car";"day";"shift"
0;"2019-01-01";["07:00:00-19:00:00"]
0;"2019-01-02";["07:00:00-19:00:00"]
0;"2019-01-03";["07:00:00-19:00:00"]
0;"2019-01-04";["07:00:00-19:00:00"]
0;"2019-01-05";["07:00:00-19:00:00"]
1;"2019-01-01";["07:00:00-19:00:00"]
1;"2019-01-02";["07:00:00-19:00:00"]
1;"2019-01-03";["07:00:00-19:00:00"]
1;"2019-01-04";["07:00:00-19:00:00"]
1;"2019-01-05";["07:00:00-19:00:00"]
2;"2019-01-01";["07:00:00-19:00:00"]
2;"2019-01-02";["07:00:00-19:00:00"]
2;"2019-01-03";["07:00:00-19:00:00"]
2;"2019-01-04";["07:00:00-19:00:00"]
2;"2019-01-05";["07:00:00-19:00:00"]
3;"2019-01-01";["07:00:00-19:00:00"]
3;"2019-01-02";["07:00:00-19:00:00"]
3;"2019-01-03";["07:00:00-19:00:00"]
3;"2019-01-04";["07:00:00-19:00:00"]
3;"2019-01-05";["07:00:00-19:00:00"]
4;"2019-01-01";["07:00:00-19:00:00"]
4;"2019-01-02";["07:00:00-19:00:00"]
4;"2019-01-03";["07:00:00-19:00:00"]
4;"2019-01-04";["07:00:00-19:00:00"]
4;"2019-01-05";["07:00:00-19:00:00"]
5;"2019-01-01";["07:00:00-19:00:00"]
5;"2019-01-02";["07:00:00-19:00:00"]
5;"2019-01-03";["07:00:00-19:00:00"]
5;"2019-01-04";["07:00:00-19:00:00"]
5;"2019-01-05";["07:00:00-19:00:00"]
6;"2019-01-01";["07:00:00-19:00:00"]
6;"2019-01-02";["07:00:00-19:00:00"]
6;"2019-01-03";["07:00:00-19:00:00"]
6;"2019-01-04";["07:00:00-19:00:00"]
6;"2019-01-05";["07:00:00-19:00:00"]
7;"2019-01-01";["07:00:00-19:00:00"]
7;"2019-01-02";["07:00:00-19:00:00"]
7;"2019-01-03";["07:00:00-19:00:00"]
7;"2019-01-04";["07:00:00-19:00:00"]
7;"2019-01-05";["07:00:00-19:00:00"]
