"car";"day";"shift"
0;"2019-01-01";["06:00:00-10:30:00","15:00:00-18:30:00"]
0;"2019-01-02";["06:00:00-10:30:00","15:00:00-18:30:00"]
0;"2019-01-03";["06:00:00-10:30:00","15:00:00-18:30:00"]
0;"2019-01-04";["06:00:00-10:30:00","15:00:00-18:30:00"]
0;"2019-01-05";["06:00:00-10:30:00","15:00:00-18:30:00"]
1;"2019-01-01";["08:00:00-12:30:00","15:00:00-18:30:00"]
1;"2019-01-02";["08:00:00-12:30:00","15:00:00-18:30:00"]
1;"2019-01-03";["08:00:00-12:30:00","15:00:00-18:30:00"]
1;"2019-01-04";["08:00:00-12:30:00","15:00:00-18:30:00"]
1;"2019-01-05";["08:00:00-12:30:00","15:00:00-18:30:00"]
2;"2019-01-01";["07:00:00-10:30:00","15:00:00-18:30:00"]
2;"2019-01-02";["07:00:00-10:30:00","15:00:00-18:30:00"]
2;"2019-01-03";["07:00:00-10:30:00","15:00:00-18:30:00"]
2;"2019-01-04";["07:00:00-10:30:00","15:00:00-18:30:00"]
2;"2019-01-05";["07:00:00-10:30:00","15:00:00-18:30:00"]
3;"2019-01-01";["07:00:00-11:30:00","15:00:00-18:30:00"]
3;"2019-01-02";["07:00:00-11:30:00","15:00:00-18:30:00"]
3;"2019-01-03";["07:00:00-11:30:00","15:00:00-18:30:00"]
3;"2019-01-04";["07:00:00-11:30:00","15:00:00-18:30:00"]
3;"2019-01-05";["07:00:00-11:30:00","15:00:00-18:30:00"]
4;"2019-01-01";["06:00:00-10:30:00","15:00:00-18:30:00"]
4;"2019-01-02";["06:00:00-10:30:00","15:00:00-18:30:00"]
4;"2019-01-03";["06:00:00-10:30:00","15:00:00-18:30:00"]
4;"2019-01-04";["06:00:00-10:30:00","15:00:00-18:30:00"]
4;"2019-01-05";["06:00:00-10:30:00","15:00:00-18:30:00"]
5;"2019-01-01";["08:00:00-12:30:00","15:00:00-18:30:00"]
5;"2019-01-02";["08:00:00-12:30:00","15:00:00-18:30:00"]
5;"2019-01-03";["08:00:00-12:30:00","15:00:00-18:30:00"]
5;"2019-01-04";["08:00:00-12:30:00","15:00:00-18:30:00"]
5;"2019-01-05";["08:00:00-12:30:00","15:00:00-18:30:00"]
6;"2019-01-01";["07:00:00-10:30:00","15:00:00-18:30:00"]
6;"2019-01-02";["07:00:00-10:30:00","15:00:00-18:30:00"]
6;"2019-01-03";["07:00:00-10:30:00","15:00:00-18:30:00"]
6;"2019-01-04";["07:00:00-10:30:00","15:00:00-18:30:00"]
6;"2019-01-05";["07:00:00-10:30:00","15:00:00-18:30:00"]
7;"2019-01-01";["07:00:00-11:30:00","15:00:00-18:30:00"]
7;"2019-01-02";["07:00:00-11:30:00","15:00:00-18:30:00"]
7;"2019-01-03";["07:00:00-11:30:00","15:00:00-18:30:00"]
7;"2019-01-04";["07:00:00-11:30:00","15:00:00-18:30:00"]
7;"2019-01-05";["07:00:00-11:30:00","15:00:00-18:30:00"]
