"car";"day";"shift"
0;"2019-01-01";["07:00:00-11:00:00","14:00:00-20:00:00"]
0;"2019-01-02";["10:00:00-16:00:00"]
0;"2019-01-03";["07:00:00-11:00:00","14:00:00-20:00:00"]
0;"2019-01-04";["10:00:00-16:00:00"]
0;"2019-01-05";["07:00:00-11:00:00","14:00:00-20:00:00"]
1;"2019-01-01";["07:00:00-13:00:00","17:00:00-23:00:00"]
1;"2019-01-02";["12:00:00-18:00:00"]
1;"2019-01-03";["07:00:00-13:00:00","17:00:00-23:00:00"]
1;"2019-01-04";["12:00:00-18:00:00"]
1;"2019-01-05";["07:00:00-13:00:00","17:00:00-23:00:00"]
2;"2019-01-01";["08:00:00-12:00:00","20:00:00-00:00:00"]
2;"2019-01-02";["14:00:00-20:00:00"]
2;"2019-01-03";["08:00:00-12:00:00","20:00:00-00:00:00"]
2;"2019-01-04";["14:00:00-20:00:00"]
2;"2019-01-05";["08:00:00-12:00:00","20:00:00-00:00:00"]
3;"2019-01-01";["09:00:00-14:00:00","18:00:00-23:00:00"]
3;"2019-01-02";["16:00:00-22:00:00"]
3;"2019-01-03";["09:00:00-14:00:00","18:00:00-23:00:00"]
3;"2019-01-04";["16:00:00-22:00:00"]
3;"2019-01-05";["08:00:00-14:00:00","18:00:00-23:00:00"]
