"car";"day";"shift"
0;"2019-01-01";["10:00:00-14:00:00","17:00:00-00:00:00"]
0;"2019-01-02";["10:00:00-14:00:00"]
0;"2019-01-03";["10:00:00-14:00:00","17:00:00-00:00:00"]
0;"2019-01-04";["18:00:00-23:00:00"]
0;"2019-01-05";["10:00:00-14:00:00","17:00:00-00:00:00"]
1;"2019-01-01";["11:00:00-14:00:00","18:00:00-22:00:00"]
1;"2019-01-02";["11:00:00-15:00:00"]
1;"2019-01-03";["11:00:00-14:00:00","18:00:00-22:00:00"]
1;"2019-01-04";["19:00:00-00:00:00"]
1;"2019-01-05";["11:00:00-14:00:00","18:00:00-22:00:00"]
2;"2019-01-01";["10:00:00-14:00:00","19:00:00-23:00:00"]
2;"2019-01-02";["10:00:00-16:00:00"]
2;"2019-01-03";["10:00:00-14:00:00","19:00:00-23:00:00"]
2;"2019-01-04";["20:00:00-02:00:00"]
2;"2019-01-05";["10:00:00-14:00:00","19:00:00-23:00:00"]
3;"2019-01-01";["11:00:00-14:00:00","18:00:00-00:00:00"]
3;"2019-01-02";["08:00:00-13:00:00"]
3;"2019-01-03";["11:00:00-14:00:00","18:00:00-00:00:00"]
3;"2019-01-04";["19:00:00-01:00:00"]
3;"2019-01-05";["08:00:00-11:00:00","15:00:00-21:00:00"]
