"car";"day";"shift"
0;"2019-01-01";["08:00:00-13:00:00","15:30:00-19:00:00"]
0;"2019-01-02";["08:00:00-13:00:00","15:30:00-19:00:00"]
0;"2019-01-03";["08:00:00-13:00:00","15:30:00-19:00:00"]
0;"2019-01-04";["08:00:00-13:00:00","15:30:00-19:00:00"]
0;"2019-01-05";["08:00:00-13:00:00","15:30:00-19:00:00"]
1;"2019-01-01";["10:00:00-13:30:00","15:30:00-19:00:00"]
1;"2019-01-02";["10:00:00-13:30:00","15:30:00-19:00:00"]
1;"2019-01-03";["10:00:00-13:30:00","15:30:00-19:00:00"]
1;"2019-01-04";["10:00:00-13:30:00","15:30:00-19:00:00"]
1;"2019-01-05";["10:00:00-13:30:00","15:30:00-19:00:00"]
2;"2019-01-01";["09:00:00-14:00:00","16:00:00-18:00:00"]
2;"2019-01-02";["09:00:00-14:00:00","16:00:00-18:00:00"]
2;"2019-01-03";["09:00:00-14:00:00","16:00:00-18:00:00"]
2;"2019-01-04";["09:00:00-14:00:00","16:00:00-18:00:00"]
2;"2019-01-05";["09:00:00-14:00:00","16:00:00-18:00:00"]
3;"2019-01-01";["11:00:00-13:30:00","15:00:00-20:00:00"]
3;"2019-01-02";["11:00:00-13:30:00","15:00:00-20:00:00"]
3;"2019-01-03";["11:00:00-13:30:00","15:00:00-20:00:00"]
3;"2019-01-04";["11:00:00-13:30:00","15:00:00-20:00:00"]
3;"2019-01-05";["11:00:00-13:30:00","15:00:00-20:00:00"]
