"car";"day";"shift"
0;"2019-01-01";["08:00:00-13:00:00","18:00:00-20:00:00"]
0;"2019-01-02";["08:00:00-13:00:00","18:00:00-20:00:00"]
0;"2019-01-03";["08:00:00-13:00:00","18:00:00-20:00:00"]
0;"2019-01-04";["08:00:00-13:00:00","18:00:00-20:00:00"]
0;"2019-01-05";["08:00:00-13:00:00","18:00:00-20:00:00"]
1;"2019-01-01";["08:00:00-13:00:00","15:00:00-18:00:00"]
1;"2019-01-02";["08:00:00-13:00:00","15:00:00-18:00:00"]
1;"2019-01-03";["08:00:00-13:00:00","15:00:00-18:00:00"]
1;"2019-01-04";["08:00:00-13:00:00","15:00:00-18:00:00"]
1;"2019-01-05";["08:00:00-13:00:00","15:00:00-18:00:00"]
2;"2019-01-01";["08:00:00-13:00:00","17:00:00-20:30:00"]
2;"2019-01-02";["08:00:00-13:00:00","17:00:00-20:30:00"]
2;"2019-01-03";["08:00:00-13:00:00","17:00:00-20:30:00"]
2;"2019-01-04";["08:00:00-13:00:00","17:00:00-20:30:00"]
2;"2019-01-05";["08:00:00-13:00:00","17:00:00-20:30:00"]
3;"2019-01-01";["08:00:00-13:00:00","16:00:00-21:00:00"]
3;"2019-01-02";["08:00:00-13:00:00","16:00:00-21:00:00"]
3;"2019-01-03";["08:00:00-13:00:00","16:00:00-21:00:00"]
3;"2019-01-04";["08:00:00-13:00:00","16:00:00-21:00:00"]
3;"2019-01-05";["08:00:00-13:00:00","16:00:00-21:00:00"]
4;"2019-01-01";["08:00:00-13:00:00","18:00:00-20:00:00"]
4;"2019-01-02";["08:00:00-13:00:00","18:00:00-20:00:00"]
4;"2019-01-03";["08:00:00-13:00:00","18:00:00-20:00:00"]
4;"2019-01-04";["08:00:00-13:00:00","18:00:00-20:00:00"]
4;"2019-01-05";["08:00:00-13:00:00","18:00:00-20:00:00"]
5;"2019-01-01";["08:00:00-13:00:00","15:00:00-18:00:00"]
5;"2019-01-02";["08:00:00-13:00:00","15:00:00-18:00:00"]
5;"2019-01-03";["08:00:00-13:00:00","15:00:00-18:00:00"]
5;"2019-01-04";["08:00:00-13:00:00","15:00:00-18:00:00"]
5;"2019-01-05";["08:00:00-13:00:00","15:00:00-18:00:00"]
6;"2019-01-01";["08:00:00-13:00:00","17:00:00-20:30:00"]
6;"2019-01-02";["08:00:00-13:00:00","17:00:00-20:30:00"]
6;"2019-01-03";["08:00:00-13:00:00","17:00:00-20:30:00"]
6;"2019-01-04";["08:00:00-13:00:00","17:00:00-20:30:00"]
6;"2019-01-05";["08:00:00-13:00:00","17:00:00-20:30:00"]
7;"2019-01-01";["08:00:00-13:00:00","16:00:00-21:00:00"]
7;"2019-01-02";["08:00:00-13:00:00","16:00:00-21:00:00"]
7;"2019-01-03";["08:00:00-13:00:00","16:00:00-21:00:00"]
7;"2019-01-04";["08:00:00-13:00:00","16:00:00-21:00:00"]
7;"2019-01-05";["08:00:00-13:00:00","16:00:00-21:00:00"]
