"car";"day";"shift"
0;"2019-01-01";["10:00:00-14:00:00","16:00:00-21:00:00"]
0;"2019-01-02";["10:00:00-14:00:00","16:00:00-21:00:00"]
0;"2019-01-03";["10:00:00-14:00:00","16:00:00-21:00:00"]
0;"2019-01-04";["10:00:00-14:00:00","16:00:00-21:00:00"]
0;"2019-01-05";["10:00:00-14:00:00","16:00:00-21:00:00"]
1;"2019-01-01";["11:00:00-14:30:00","17:30:00-21:30:00"]
1;"2019-01-02";["11:00:00-14:30:00","17:30:00-21:30:00"]
1;"2019-01-03";["11:00:00-14:30:00","17:30:00-21:30:00"]
1;"2019-01-04";["11:00:00-14:30:00","17:30:00-21:30:00"]
1;"2019-01-05";["11:00:00-14:30:00","17:30:00-21:30:00"]
2;"2019-01-01";["10:00:00-14:00:00","16:30:00-20:30:00"]
2;"2019-01-02";["10:00:00-14:00:00","16:30:00-20:30:00"]
2;"2019-01-03";["10:00:00-14:00:00","16:30:00-20:30:00"]
2;"2019-01-04";["10:00:00-14:00:00","16:30:00-20:30:00"]
2;"2019-01-05";["10:00:00-14:00:00","16:30:00-20:30:00"]
3;"2019-01-01";["09:00:00-12:00:00","14:00:00-18:00:00"]
3;"2019-01-02";["09:00:00-12:00:00","14:00:00-18:00:00"]
3;"2019-01-03";["09:00:00-12:00:00","14:00:00-18:00:00"]
3;"2019-01-04";["09:00:00-12:00:00","14:00:00-18:00:00"]
3;"2019-01-05";["09:00:00-12:00:00","14:00:00-18:00:00"]
